               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.014525,            0.032529,           0.0070194,             0.97039,             0.95689,             0.98521,             0.94511,           0.0077358,            0.019241,           0.0055395,            0.005116,            0.005116,            0.005116
                  76,             0.01441,             0.03212,           0.0069127,             0.96161,             0.95569,             0.98407,             0.94291,           0.0075906,            0.019133,           0.0059009,             0.00505,             0.00505,             0.00505
                  77,            0.014704,            0.033169,           0.0067815,             0.96588,             0.96105,              0.9861,             0.94609,           0.0075784,            0.018935,           0.0056789,            0.004984,            0.004984,            0.004984
                  78,            0.014527,            0.032485,            0.006416,             0.95828,             0.94953,             0.98123,             0.93622,            0.007986,            0.019241,           0.0064401,            0.004918,            0.004918,            0.004918
                  79,            0.014555,            0.032074,           0.0068364,             0.96352,             0.95562,              0.9871,             0.94816,           0.0074471,            0.018668,           0.0054425,            0.004852,            0.004852,            0.004852
                  80,            0.014322,            0.031634,           0.0064031,             0.95828,              0.9594,             0.98223,             0.94463,           0.0073826,            0.018785,           0.0058669,            0.004786,            0.004786,            0.004786
                  81,             0.01394,            0.032522,           0.0067545,             0.95772,             0.95801,             0.98326,             0.94623,            0.007371,            0.018695,           0.0059428,             0.00472,             0.00472,             0.00472
                  82,            0.014273,            0.032339,           0.0066484,             0.95782,             0.96171,              0.9863,              0.9482,           0.0074018,            0.018788,           0.0056002,            0.004654,            0.004654,            0.004654
                  83,            0.013998,            0.031818,            0.006041,             0.96598,             0.95073,             0.98289,             0.94804,            0.007397,            0.018685,           0.0059375,            0.004588,            0.004588,            0.004588
                  84,            0.013969,            0.031669,           0.0063388,             0.96056,             0.96442,             0.98755,             0.95132,           0.0070015,            0.018275,            0.005396,            0.004522,            0.004522,            0.004522
                  85,            0.013788,            0.031925,           0.0061589,             0.96476,              0.9462,             0.98342,             0.95218,           0.0069841,            0.018296,           0.0061664,            0.004456,            0.004456,            0.004456
                  86,            0.013688,            0.031508,           0.0060938,             0.96698,             0.95965,             0.98481,             0.95243,           0.0069468,            0.017992,           0.0057475,             0.00439,             0.00439,             0.00439
                  87,            0.013528,            0.031202,           0.0066024,             0.96848,             0.95664,             0.98665,             0.95536,           0.0069238,            0.017839,           0.0053191,            0.004324,            0.004324,            0.004324
                  88,             0.01363,             0.03161,           0.0060422,             0.96315,             0.96286,             0.98673,             0.95713,           0.0069964,            0.018006,           0.0053355,            0.004258,            0.004258,            0.004258
                  89,            0.013479,            0.031225,           0.0061055,             0.96855,             0.94988,              0.9851,             0.95366,           0.0068653,            0.017869,           0.0057383,            0.004192,            0.004192,            0.004192
                  90,            0.013052,             0.03134,           0.0059542,             0.96999,             0.94729,             0.98453,             0.95246,           0.0068266,            0.018064,           0.0057946,            0.004126,            0.004126,            0.004126
